an_base,cd_programa_ies,nm_programa_ies,qtd_artigos,qtd_autores_total,qtd_tp_autor_sem_informacao,qtd_tp_autor_discente,qtd_tp_autor_docente,qtd_tp_autor_egresso,qtd_tp_autor_participante_externo,qtd_tp_autor_pos_doc
2013,33010013002P1,COMPUTAÇÃO APLICADA,59,149,0,10,69,0,70,0
2013,33010013003P8,METEOROLOGIA,71,324,168,27,88,0,41,0
2013,33010013005P0,SENSORIAMENTO REMOTO,54,171,6,43,77,0,45,0
2013,33010013008P0,GEOFÍSICA ESPACIAL,65,308,111,24,109,0,64,0
2013,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,113,267,13,33,155,0,66,0
2013,33010013010P4,ASTROFÍSICA,50,312,167,11,47,0,87,0
2013,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,74,121,1,8,101,0,11,0
2014,33010013002P1,COMPUTAÇÃO APLICADA,76,230,10,14,97,0,109,0
2014,33010013003P8,METEOROLOGIA,65,183,37,9,72,0,65,0
2014,33010013005P0,SENSORIAMENTO REMOTO,82,373,148,39,106,0,80,0
2014,33010013008P0,GEOFÍSICA ESPACIAL,63,368,174,17,95,0,82,0
2014,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,172,578,172,72,231,0,103,0
2014,33010013010P4,ASTROFÍSICA,48,217,91,22,41,0,63,0
2014,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,76,130,22,4,81,0,23,0
2015,33010013002P1,COMPUTAÇÃO APLICADA,47,130,0,12,54,0,64,0
2015,33010013003P8,METEOROLOGIA,79,303,147,35,82,0,39,0
2015,33010013005P0,SENSORIAMENTO REMOTO,68,285,80,26,96,0,83,0
2015,33010013008P0,GEOFÍSICA ESPACIAL,48,272,92,22,84,0,74,0
2015,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,115,258,26,30,145,0,57,0
2015,33010013010P4,ASTROFÍSICA,48,359,212,22,37,0,88,0
2015,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,58,82,4,5,65,0,8,0
2016,33010013002P1,COMPUTAÇÃO APLICADA,61,197,21,3,77,0,96,0
2016,33010013003P8,METEOROLOGIA,74,170,57,14,80,0,19,0
2016,33010013005P0,SENSORIAMENTO REMOTO,84,503,274,22,124,0,83,0
2016,33010013008P0,GEOFÍSICA ESPACIAL,58,367,133,14,100,0,120,0
2016,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,98,416,171,39,137,0,69,0
2016,33010013010P4,ASTROFÍSICA,59,297,70,57,86,0,84,0
2016,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,77,136,16,4,90,0,26,0
2017,33010013002P1,COMPUTAÇÃO APLICADA,51,197,13,16,72,0,96,0
2017,33010013003P8,METEOROLOGIA,107,373,158,29,116,15,55,0
2017,33010013005P0,SENSORIAMENTO REMOTO,71,433,118,28,115,11,160,1
2017,33010013008P0,GEOFÍSICA ESPACIAL,70,449,143,19,125,33,129,0
2017,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,136,569,154,92,173,11,129,10
2017,33010013010P4,ASTROFÍSICA,63,343,86,63,91,6,93,4
2017,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,79,273,52,18,110,2,91,0
2018,33010013002P1,COMPUTAÇÃO APLICADA,50,167,9,17,56,0,85,0
2018,33010013003P8,METEOROLOGIA,101,397,171,30,119,24,53,0
2018,33010013005P0,SENSORIAMENTO REMOTO,77,418,75,41,121,25,154,2
2018,33010013008P0,GEOFÍSICA ESPACIAL,60,390,129,17,101,43,100,0
2018,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,105,457,94,65,120,15,154,9
2018,33010013010P4,ASTROFÍSICA,35,210,80,15,41,17,55,2
2018,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,85,547,273,15,116,2,141,0
2019,33010013002P1,COMPUTAÇÃO APLICADA,58,251,40,22,74,18,97,0
2019,33010013003P8,METEOROLOGIA,71,246,60,13,71,33,68,1
2019,33010013005P0,SENSORIAMENTO REMOTO,76,382,48,31,106,41,155,1
2019,33010013008P0,GEOFÍSICA ESPACIAL,52,373,145,16,93,40,70,9
2019,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,99,456,139,32,106,37,132,10
2019,33010013010P4,ASTROFÍSICA,71,412,118,31,96,42,120,5
2019,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,73,368,175,5,91,24,72,1
2020,33010013002P1,COMPUTAÇÃO APLICADA,71,361,22,15,95,21,208,0
2020,33010013003P8,METEOROLOGIA,108,463,113,34,113,55,141,7
2020,33010013005P0,SENSORIAMENTO REMOTO,112,665,127,64,165,98,206,5
2020,33010013008P0,GEOFÍSICA ESPACIAL,56,453,192,24,94,57,79,7
2020,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,53,239,40,31,69,40,57,2
2020,33010013010P4,ASTROFÍSICA,61,373,131,27,82,33,94,6
2020,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,127,469,143,33,157,36,95,5
2021,33010013002P1,COMPUTAÇÃO APLICADA,63,234,1,12,86,24,111,0
2021,33010013003P8,METEOROLOGIA,82,458,178,11,118,37,110,4
2021,33010013005P0,SENSORIAMENTO REMOTO,91,266,23,10,102,46,83,2
2021,33010013008P0,GEOFÍSICA ESPACIAL,50,315,83,25,91,25,66,25
2021,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,60,268,4,33,72,31,126,2
2021,33010013010P4,ASTROFÍSICA,69,233,9,29,92,8,88,7
2021,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,96,324,36,19,124,30,113,2
2022,33010013002P1,COMPUTAÇÃO APLICADA,54,161,0,14,62,24,61,0
2022,33010013003P8,METEOROLOGIA,75,282,37,13,105,33,90,4
2022,33010013005P0,SENSORIAMENTO REMOTO,72,244,1,23,96,63,60,1
2022,33010013008P0,GEOFÍSICA ESPACIAL,52,278,2,18,104,37,83,34
2022,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,60,285,8,34,80,38,125,0
2022,33010013010P4,ASTROFÍSICA,62,241,0,26,77,2,109,27
2022,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,96,220,5,11,119,33,51,1
2023,33010013002P1,COMPUTAÇÃO APLICADA,35,115,0,11,40,20,44,0
2023,33010013003P8,METEOROLOGIA,69,221,4,17,100,18,79,3
2023,33010013005P0,SENSORIAMENTO REMOTO,103,353,0,33,136,77,103,4
2023,33010013008P0,GEOFÍSICA ESPACIAL,52,255,0,15,73,64,99,4
2023,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,69,239,9,33,77,27,93,0
2023,33010013010P4,ASTROFÍSICA,48,164,0,6,54,24,75,5
2023,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,84,243,7,13,106,26,91,0
2024,33010013002P1,COMPUTAÇÃO APLICADA,40,114,0,12,49,11,42,0
2024,33010013003P8,METEOROLOGIA,85,284,0,20,126,28,109,1
2024,33010013005P0,SENSORIAMENTO REMOTO,87,231,0,23,121,22,65,0
2024,33010013008P0,GEOFÍSICA ESPACIAL,57,230,0,22,83,39,69,17
2024,33010013009P6,ENGENHARIA E TECNOLOGIA ESPACIAIS,53,191,0,13,66,31,81,0
2024,33010013010P4,ASTROFÍSICA,66,216,1,5,77,17,110,6
2024,33010013011P0,CIÊNCIA DO SISTEMA TERRESTRE,51,140,0,6,67,18,49,0
